*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB Led Drivers
*Date=17:07:27
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
354;;;18.9992;-242.394;0;Bottom;Copper Fill371
355;;;29.3516;-158.858;0;Bottom;Via101
356;220;THT;8.16517;-84.1606;0;Bottom;R45
357;;;23.0242;-75.9056;0;Bottom;Via59
358;;;11.6078;-141.302;0;Bottom;Copper Fill149
359;;;14.8844;-86.0063;0;Bottom;Copper Fill469
360;;;15.7734;-31.6757;0;Bottom;Copper Fill204
361;;;18.6182;-255.856;0;Bottom;Copper Fill363
362;;;15.3924;-242.534;0;Bottom;Copper Fill538
363;;;8.0264;-208.993;0;Bottom;Copper Fill112
364;;;28.6512;-351.767;0;Bottom;Copper Fill307
365;;;4.2418;-135.079;0;Bottom;Copper Fill438
366;220;THT;19.2142;-399.122;0;Bottom;R67
367;;;7.9248;-287.276;0;Bottom;Copper Fill64
368;;;11.6078;-130.926;0;Bottom;Copper Fill517
369;;;29.2354;-199.748;0;Bottom;Copper Fill398
370;;;2.8321;-261.952;0;Bottom;Copper Fill530
371;;;22.9197;-309.565;0;Bottom;Via110
372;;;3.937;-368.734;0;Bottom;Copper Fill299
373;;;1.9558;-274.881;0;Bottom;Copper Fill70
374;;;6.7818;-195.353;0;Bottom;Copper Fill402
375;;;14.986;-108.104;0;Bottom;Copper Fill455
376;;;29.2862;-59.5395;0;Bottom;Copper Fill484
377;;;16.5989;-402.414;0;Bottom;Copper Fill554
378;;;8.96448;-34.1249;0;Bottom;TXT1
379;;;21.6916;-293.829;0;Bottom;Copper Fill343
380;;5 mm [THT];26.3066;-150.095;0;Bottom;LED53
381;;;9.04598;-36.692;0;Bottom;TXT1
382;;;11.5062;-271.134;0;Bottom;Copper Fill535
383;;;10.5918;-171.757;0;Bottom;Copper Fill131
384;;;10.4902;-367.146;0;Bottom;Copper Fill546
385;;;17.145;-85.0157;0;Bottom;Copper Fill181
386;;;6.6802;-382.247;0;Bottom;Copper Fill292
387;;;6.8072;-101.856;0;Bottom;Copper Fill461
388;;;11.6078;-84.1902;0;Bottom;Copper Fill213
389;;;2.7432;-162.003;0;Bottom;Copper Fill138
390;;;28.2194;-304.878;0;Bottom;Copper Fill54
391;;;10.5664;-358.447;0;Bottom;Copper Fill20
392;;;9.525;-364.606;0;Bottom;Copper Fill263
393;;5 mm [THT];26.3291;-74.1276;0;Bottom;LED30
394;;;15.367;-382.793;0;Bottom;Copper Fill280
395;220;THT;8.06069;-271.083;0;Bottom;R55
